球队,胜,负,胜率,排名,场次,胜差,得分,失分,分差,主场战绩,客场战绩,分部战绩,分区战绩,最近10场,连胜连负
爵士,24,6,80.00%,1 ,30 ,0,115.5,106.3,9.2,13胜2负,11胜4负,11胜4负,3胜2负,9胜1负,1连负
湖人,22,8,73.30%,2 ,30 ,2,112.37,105.87,6.5,9胜5负,13胜3负,15胜5负,0胜2负,8胜2负,1连负
快船,22,9,71.00%,3 ,31 ,2.5,115.45,108.68,6.77,11胜5负,11胜4负,13胜6负,5胜2负,6胜4负,1连胜
76人,20,10,66.70%,4 ,30 ,0,114.5,111.47,3.03,13胜2负,7胜8负,16胜4负,5胜1负,6胜4负,2连胜
开拓者,18,10,64.30%,5 ,28 ,5,115.82,115.11,0.71,8胜5负,10胜5负,9胜6负,2胜2负,8胜2负,6连胜
太阳,18,10,64.30%,6 ,28 ,5,112,108.18,3.82,10胜5负,8胜5负,10胜7负,2胜2负,8胜2负,1连胜
篮网,19,12,61.30%,7 ,31 ,1.5,121.26,117.29,3.97,11胜5负,8胜7负,10胜9负,3胜2负,6胜4负,5连胜
马刺,16,11,59.30%,8 ,27 ,6.5,111.15,111.48,-0.33,7胜8负,9胜3负,11胜11负,3胜5负,7胜3负,2连胜
雄鹿,17,13,56.70%,9 ,30 ,3,118.9,112,6.9,10胜4负,7胜9负,12胜7负,8胜0负,5胜5负,1连胜
掘金,16,13,55.20%,10 ,29 ,7.5,115.52,111.41,4.1,8胜6负,8胜7负,11胜9负,5胜1负,5胜5负,1连胜
勇士,16,14,53.30%,11 ,30 ,8,114.83,113.2,1.63,11胜6负,5胜8负,9胜7负,3胜2负,5胜5负,1连负
灰熊,13,12,52.00%,12 ,25 ,8.5,111.68,111.8,-0.12,6胜8负,7胜4负,6胜7负,2胜4负,4胜6负,2连胜
凯尔特人,15,14,51.70%,13 ,29 ,4.5,110.66,109.41,1.24,8胜5负,7胜9负,11胜9负,2胜4负,4胜6负,1连胜
步行者,15,14,51.70%,14 ,29 ,4.5,113.45,111.93,1.52,7胜9负,8胜5负,9胜8负,3胜2负,4胜6负,1连胜
猛龙,15,15,50.00%,15 ,30 ,5,113.17,110.53,2.63,6胜6负,9胜9负,11胜7负,2胜3负,7胜3负,3连胜
尼克斯,14,16,46.70%,16 ,30 ,6,103.53,103.67,-0.13,7胜6负,7胜10负,10胜10负,1胜3负,5胜5负,1连负
黄蜂,13,15,46.40%,17 ,28 ,6,111.25,111.68,-0.43,8胜8负,5胜7负,9胜9负,5胜1负,6胜4负,1连负
独行侠,13,15,46.40%,18 ,28 ,10,112.86,114.61,-1.75,6胜8负,7胜7负,7胜10负,3胜1负,5胜5负,1连负
公牛,12,16,42.90%,19 ,28 ,7,114.21,115.32,-1.11,5胜9负,7胜7负,7胜8负,2胜2负,5胜5负,1连负
国王,12,16,42.90%,20 ,28 ,11,113.71,119.25,-5.54,7胜11负,5胜5负,6胜10负,2胜4负,4胜6负,5连负
热火,12,17,41.40%,21 ,29 ,7.5,107.21,110.48,-3.28,7胜7负,5胜10负,7胜11负,2胜3负,5胜5负,1连胜
老鹰,12,17,41.40%,22 ,29 ,7.5,112.97,113.14,-0.17,6胜9负,6胜8负,8胜10负,1胜2负,2胜8负,1连负
鹈鹕,12,17,41.40%,23 ,29 ,11.5,114.62,115.1,-0.48,7胜7负,5胜10负,7胜12负,4胜2负,5胜5负,2连负
魔术,12,18,40.00%,24 ,30 ,8,105.57,111.33,-5.77,7胜8负,5胜10负,8胜10负,4胜1负,4胜6负,2连胜
火箭,11,17,39.30%,25 ,28 ,12,109.36,111.29,-1.93,5胜6负,6胜11负,8胜10负,4胜4负,2胜8负,7连负
雷霆,11,18,37.90%,26 ,29 ,12.5,106.9,113.07,-6.17,4胜9负,7胜9负,5胜14负,2胜5负,3胜7负,3连负
奇才,9,17,34.60%,27 ,26 ,9,113.89,119.46,-5.58,5胜9负,4胜8负,5胜13负,1胜6负,5胜5负,3连胜
骑士,10,20,33.30%,28 ,30 ,10,103.87,113.23,-9.37,7胜8负,3胜12负,8胜9负,2胜4负,1胜9负,9连负
活塞,8,21,27.60%,29 ,29 ,11.5,108.21,112.55,-4.35,6胜8负,2胜13负,5胜12负,0胜7负,3胜7负,2连负
森林狼,7,23,23.30%,30 ,30 ,17,107.83,115.2,-7.37,4胜11负,3胜12负,4胜14负,2胜4负,2胜8负,3连负
