RK,NAME,TEAM,SALARY
1,"Stephen Curry, PG",Golden State Warriors,"$48,070,014"
2,"LeBron James, SF",Los Angeles Lakers,"$44,474,988"
3,"Kevin Durant, PF",Phoenix Suns,"$44,119,845"
4,"Bradley Beal, SG",Washington Wizards,"$43,279,250"
5,"Damian Lillard, PG",Portland Trail Blazers,"$42,492,492"
6,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$42,492,492"
7,"Kawhi Leonard, SF",LA Clippers,"$42,492,492"
8,"Paul George, F",LA Clippers,"$42,492,492"
9,"Klay Thompson, SG",Golden State Warriors,"$40,600,080"
10,"Kyrie Irving, PG",Dallas Mavericks,"$38,917,057"
RK,NAME,TEAM,SALARY
11,"Rudy Gobert, C",Minnesota Timberwolves,"$38,172,414"
12,"Anthony Davis, PF",Los Angeles Lakers,"$37,980,720"
13,"Khris Middleton, SF",Milwaukee Bucks,"$37,948,276"
14,"Jimmy Butler, SF",Miami Heat,"$37,653,300"
15,"Tobias Harris, PF",Philadelphia 76ers,"$37,633,050"
16,"Zach LaVine, SG",Chicago Bulls,"$37,096,500"
17,"Luka Doncic, PG",Dallas Mavericks,"$37,095,000"
18,"Trae Young, PG",Atlanta Hawks,"$37,095,000"
19,"Pascal Siakam, PF",Toronto Raptors,"$35,448,672"
20,"Ben Simmons, PG",Brooklyn Nets,"$35,448,672"
RK,NAME,TEAM,SALARY
21,"Myles Turner, C",Indiana Pacers,"$35,096,500"
22,"Kristaps Porzingis, C",Washington Wizards,"$33,833,400"
23,"Devin Booker, SG",Phoenix Suns,"$33,833,400"
24,"Karl-Anthony Towns, C",Minnesota Timberwolves,"$33,833,400"
25,"Jrue Holiday, PG",Milwaukee Bucks,"$33,665,040"
26,"Joel Embiid, C",Philadelphia 76ers,"$33,616,770"
27,"Andrew Wiggins, SF",Golden State Warriors,"$33,616,770"
28,"CJ McCollum, SG",New Orleans Pelicans,"$33,333,333"
29,"Nikola Jokic, C",Denver Nuggets,"$33,047,804"
30,"James Harden, SG",Philadelphia 76ers,"$33,000,000"
RK,NAME,TEAM,SALARY
31,"Brandon Ingram, SF",New Orleans Pelicans,"$31,650,600"
32,"Jamal Murray, PG",Denver Nuggets,"$31,650,000"
33,"D'Angelo Russell, PG",Los Angeles Lakers,"$31,377,750"
34,"Shai Gilgeous-Alexander, PG",Oklahoma City Thunder,"$30,913,750"
35,"Deandre Ayton, C",Phoenix Suns,"$30,913,750"
36,"Michael Porter Jr., SF",Denver Nuggets,"$30,913,750"
37,"Donovan Mitchell, SG",Cleveland Cavaliers,"$30,913,750"
38,"Bam Adebayo, C",Miami Heat,"$30,351,780"
39,"Gordon Hayward, SF",Charlotte Hornets,"$30,075,000"
40,"Jaren Jackson Jr., PF",Memphis Grizzlies,"$28,946,605"
