datetime,code,open,close,high,low,vol,amount,p_change
2010-1-5,300,3545.19,3564.04,3577.53,3497.66,858096,1.28302E+11,0.81
2010-1-6,300,3558.7,3541.73,3588.83,3541.17,784731,1.21046E+11,-0.63
2010-1-7,300,3543.16,3471.46,3558.56,3452.77,803500,1.20436E+11,-1.98
2010-1-8,300,3456.91,3480.13,3482.08,3426.7,607902,90190962688,0.25
2010-1-11,300,3593.11,3482.05,3594.53,3465.32,899801,1.34114E+11,0.06
2010-1-12,300,3477.84,3534.92,3535.41,3437.66,937432,1.34071E+11,1.52
2010-1-13,300,3448.29,3421.14,3490.11,3415.69,1124579,1.5986E+11,-3.22
2010-1-14,300,3433.47,3469.05,3470.32,3411.81,833532,1.18108E+11,1.4
2010-1-15,300,3472.52,3482.74,3500.07,3448.66,725431,1.04035E+11,0.39
2010-1-18,300,3471.78,3500.68,3501.26,3458.04,828543,1.17884E+11,0.52
2010-1-19,300,3506.81,3507.48,3528.39,3497.09,748832,1.08024E+11,0.19
2010-1-20,300,3512.25,3394.43,3515.45,3387.82,924951,1.28416E+11,-3.22
2010-1-21,300,3397.04,3408.57,3425.18,3364.72,705950,1.00077E+11,0.42
2010-1-22,300,3364.45,3366.2,3390.8,3293.19,889334,1.19198E+11,-1.24
2010-1-25,300,3340.01,3328.01,3372.43,3326.27,568491,76626624512,-1.13
2010-1-26,300,3328.11,3242.8,3341.2,3222.14,617522,81586061312,-2.56
2010-1-27,300,3243.04,3198.57,3255.12,3183.36,526913,70540271616,-1.36
2010-1-28,300,3195.29,3206.57,3220.31,3168.46,469907,64082116608,0.25
2010-1-29,300,3190.31,3204.16,3249.46,3176.92,502626,68018118656,-0.08
2010-2-1,300,3198.23,3152.71,3198.31,3116.44,570013,75982151680,-1.61
2010-2-2,300,3170.78,3146.19,3211.94,3143.08,501300,68318412800,-0.21
2010-2-3,300,3160.71,3230.72,3231.1,3094.57,647988,87536246784,2.69
2010-2-4,300,3206.43,3218.8,3242.52,3190.44,589727,75466555392,-0.37
2010-2-5,300,3147.72,3153.09,3177.42,3129.92,591058,73693134848,-2.04
2010-2-8,300,3152.25,3150.99,3172.31,3133.81,373559,47902429184,-0.07
2010-2-9,300,3147.76,3169.19,3178.95,3144.48,359531,45222662144,0.58
2010-2-10,300,3195.14,3214.13,3214.46,3182.83,342198,48152145920,1.42
2010-2-11,300,3216.69,3220.4,3238.35,3207.17,357910,46999711744,0.2
2010-2-12,300,3232.88,3251.28,3253.2,3228.74,340582,46703218688,0.96
2010-2-22,300,3248.95,3233.34,3261.95,3232.78,382837,49981333504,-0.55
2010-2-23,300,3225.39,3198.63,3225.39,3152.93,427428,62386077696,-1.07
2010-2-24,300,3177.08,3244.48,3244.82,3165.13,499894,64414097408,1.43
2010-2-25,300,3252.15,3292.13,3294.14,3249.33,675866,89485803520,1.47
2010-2-26,300,3286.09,3281.67,3301.15,3273.69,521072,70171664384,-0.32
2010-3-1,300,3290.01,3324.42,3330.38,3287.56,605045,81205690368,1.3
2010-3-2,300,3327.1,3311.24,3339.89,3299.69,570343,76233990144,-0.4
2010-3-3,300,3313.02,3335.08,3335.65,3293.92,606227,78442135552,0.72
2010-3-4,300,3338.67,3250.57,3345.91,3244.98,693468,89462915072,-2.53
2010-3-5,300,3253.16,3259.76,3276.4,3239.68,456291,59621179392,0.28
2010-3-8,300,3268.4,3286.18,3293.93,3258.03,415408,54686556160,0.81
2010-3-9,300,3285.62,3305.86,3322.51,3255.98,541994,71971299328,0.6
2010-3-10,300,3304.04,3279.69,3321.08,3267.76,464210,61760430080,-0.79
2010-3-11,300,3282.2,3276.71,3303.49,3251.7,474877,63732658176,-0.09
2010-3-12,300,3277.31,3233.13,3284.26,3232.12,399573,52611211264,-1.33
2010-3-15,300,3231.22,3183.18,3234.82,3171.8,378443,49219899392,-1.54
2010-3-16,300,3183.77,3203.97,3204.29,3169.1,308477,41510424576,0.65
2010-3-17,300,3214.22,3273.92,3274,3207.27,458009,62587396096,2.18
2010-3-18,300,3277.88,3267.55,3295.37,3256.59,469480,62509129728,-0.19
2010-3-19,300,3270.98,3293.87,3296.41,3251.14,460621,62114230272,0.81
2010-3-22,300,3297.82,3302.63,3313.92,3288.51,494394,65652977664,0.27
2010-3-23,300,3305.55,3275.57,3309.12,3272.92,465395,62145531904,-0.82
2010-3-24,300,3282.05,3276.67,3298.54,3271.03,445479,58330300416,0.03
2010-3-25,300,3270.39,3229.13,3270.39,3222.82,449842,58604761088,-1.45
2010-3-26,300,3226.8,3275,3285.39,3220.59,474449,61592842240,1.42
2010-3-29,300,3295.76,3358.54,3363.6,3293.67,847249,1.10327E+11,2.55
2010-3-30,300,3361.35,3366.71,3372.26,3350.31,564369,78682669056,0.24
2010-3-31,300,3369.19,3345.61,3369.9,3338.75,531242,72120885248,-0.63
2010-4-1,300,3349.88,3391.94,3392.48,3349.88,677726,92360499200,1.38
2010-4-2,300,3400.14,3407.35,3412.2,3391.81,690734,99040763904,0.45
2010-4-6,300,3422.85,3405.15,3436.29,3386.89,651917,93985882112,-0.06
2010-4-7,300,3403.09,3386.95,3404.58,3369.02,540112,76733161472,-0.53
2010-4-8,300,3381.31,3346.74,3381.31,3336.16,621853,89317466112,-1.19
2010-4-9,300,3348.77,3379.17,3379.4,3342.47,512805,75590352896,0.97
2010-4-12,300,3388.35,3351.48,3393.56,3330.3,745651,1.05997E+11,-0.82
2010-4-13,300,3350.73,3391.72,3401.71,3324.05,799076,1.1644E+11,1.2
2010-4-14,300,3394.64,3403.71,3404.52,3377.44,603061,90787569664,0.35
2010-4-15,300,3407.02,3394.57,3412.94,3365.88,610516,88700231680,-0.27
2010-4-16,300,3388.29,3356.33,3388.29,3348.78,471403,67235598336,-1.13
2010-4-19,300,3313.5,3176.42,3313.5,3175.44,884163,1.18856E+11,-5.36
2010-4-20,300,3176.41,3173.37,3196.65,3130.96,641378,88005967872,-0.1
2010-4-21,300,3178.88,3236.68,3237.54,3164.76,669283,93373374464,2
2010-4-22,300,3222.68,3201.54,3231.99,3177.73,710816,98970386432,-1.09
2010-4-23,300,3198.78,3190,3224.74,3172.58,612526,92115673088,-0.36
2010-4-26,300,3195.46,3172,3207.72,3168.37,508942,74959118336,-0.56
2010-4-27,300,3163.1,3108.41,3163.1,3060.85,652965,88058363904,-2
2010-4-28,300,3080.32,3097.35,3122.11,3062.08,459954,65484922880,-0.36
2010-4-29,300,3114.94,3060.06,3130.7,3059.8,482609,69250867200,-1.2
2010-4-30,300,3060.12,3067.36,3068.13,3014.07,544778,73190883328,0.24
2010-5-4,300,3005.49,3019.45,3056.08,2994.92,412486,54558605312,-1.56
2010-5-5,300,2981.78,3036.39,3036.86,2943.36,596704,80835338240,0.56
2010-5-6,300,3014.91,2896.86,3014.91,2895.39,587704,81502265344,-4.6
2010-5-7,300,2835.88,2836.79,2892.53,2817.15,611194,79147499520,-2.07
2010-5-10,300,2842.37,2858.23,2872.31,2798.52,502091,64909189120,0.76
2010-5-11,300,2916.33,2800.82,2922.13,2790.7,583634,73894666240,-2.01
2010-5-12,300,2781.71,2818.16,2832.15,2756.42,530022,64693989376,0.62
2010-5-13,300,2818.58,2886.91,2886.97,2811.66,551457,67486535680,2.44
