宏鼎测试01	865909050981907
宏鼎测试02	865909055883090

南京监测01	865909055881730
南京监测02	865909055847095
南京监测03   865909055884825  （设备03）
南京监测04	865909055885178  （设备06）
南京监测05	865909055885012
南京监测06	865909055884999
太原理工大学 	865909055882993
南京监测08	865909055847137  （设备04）
南京监测09	865909055885061  （设备02）
南京监测10	865909055881599
南京监测11	865909055885145  （设备01）
南京监测12   865909050982996
南京监测13	865909055850107  （设备05）
南京监测14	865909055849067
南京监测15	865909055654590
南京监测16	865909055847145

南通测试01	865909055883025
南通测试02	865909055883165

太原理工大学水利馆	865909050985361
综改示范区	865909050985635

样机测试01	865909055883082

gas_01	865909055883058
soil_01	865909050989527

